Generation,BestFitness,AvgFitness,WorstFitness,bestCx,bestCy,bestR
86,1.94452,0.158993,1e-06,2.98819,3.02773,1.94452
87,1.94452,0.147992,1e-06,2.98819,3.02773,1.94452
88,1.94452,0.141542,1e-06,2.98819,3.02773,1.94452
89,1.94452,0.166981,1e-06,2.98819,3.02773,1.94452
90,1.94452,0.147631,1e-06,2.98819,3.02773,1.94452
91,1.94452,0.177534,1e-06,2.98819,3.02773,1.94452
92,1.94452,0.167528,1e-06,2.98819,3.02773,1.94452
93,1.94452,0.172668,1e-06,2.98819,3.02773,1.94452
94,1.97022,0.157941,1e-06,2.98623,3.0269,1.97022
95,1.9716,0.142531,1e-06,2.98627,3.0269,1.9716
96,1.9716,0.17522,1e-06,2.98627,3.0269,1.9716
97,1.9716,0.182071,1e-06,2.98627,3.0269,1.9716
98,1.9716,0.227007,1e-06,2.98627,3.0269,1.9716
99,1.9716,0.214443,1e-06,2.98627,3.0269,1.9716
100,1.9716,0.223828,1e-06,2.98627,3.0269,1.9716
101,1.9716,0.180982,1e-06,2.98627,3.0269,1.9716
102,1.9716,0.179039,1e-06,2.98627,3.0269,1.9716
103,1.9716,0.216299,1e-06,2.98627,3.0269,1.9716
104,1.9716,0.233239,1e-06,2.98627,3.0269,1.9716
105,1.9716,0.190937,1e-06,2.98627,3.0269,1.9716
106,1.9716,0.222982,1e-06,2.98627,3.0269,1.9716
107,1.9716,0.199521,1e-06,2.98627,3.0269,1.9716
108,1.9716,0.164274,1e-06,2.98627,3.0269,1.9716
109,1.9716,0.149151,1e-06,2.98627,3.0269,1.9716
110,1.9716,0.171722,1e-06,2.98627,3.0269,1.9716
111,1.9716,0.168862,1e-06,2.98627,3.0269,1.9716
112,1.9716,0.153514,1e-06,2.98627,3.0269,1.9716
113,1.9716,0.203111,1e-06,2.98627,3.0269,1.9716
114,1.9716,0.180203,1e-06,2.98627,3.0269,1.9716
115,1.9716,0.186187,1e-06,2.98627,3.0269,1.9716
116,1.9716,0.166815,1e-06,2.98627,3.0269,1.9716
117,1.9716,0.210069,1e-06,2.98627,3.0269,1.9716
118,1.9716,0.176918,1e-06,2.98627,3.0269,1.9716
119,1.97161,0.177907,1e-06,2.98632,3.0269,1.97161
120,1.97161,0.154719,1e-06,2.98632,3.0269,1.97161
121,1.97161,0.132187,1e-06,2.98632,3.0269,1.97161
122,1.97161,0.132322,1e-06,2.98632,3.0269,1.97161
123,1.97161,0.117464,1e-06,2.98632,3.0269,1.97161
124,1.97161,0.1505,1e-06,2.98632,3.0269,1.97161
125,1.97161,0.141502,1e-06,2.98632,3.0269,1.97161
126,1.97161,0.143225,1e-06,2.98632,3.0269,1.97161
127,1.97161,0.117913,1e-06,2.98632,3.0269,1.97161
128,1.97161,0.129194,1e-06,2.98607,3.0269,1.97161
129,1.97161,0.144096,1e-06,2.98607,3.0269,1.97161
130,1.97161,0.124479,1e-06,2.98607,3.0269,1.97161
131,1.97161,0.126182,1e-06,2.98607,3.0269,1.97161
132,1.97161,0.132382,1e-06,2.98607,3.0269,1.97161
133,1.97161,0.115161,1e-06,2.98607,3.0269,1.97161
134,1.97161,0.081773,1e-06,2.98607,3.0269,1.97161
135,1.97161,0.0957223,1e-06,2.98607,3.0269,1.97161
136,1.97161,0.113313,1e-06,2.98607,3.0269,1.97161
137,1.97161,0.100434,1e-06,2.98607,3.0269,1.97161
138,1.97161,0.107127,1e-06,2.98607,3.0269,1.97161
139,1.97161,0.0969257,1e-06,2.98607,3.0269,1.97161
140,1.97161,0.0925892,1e-06,2.98607,3.0269,1.97161
141,1.97161,0.102056,1e-06,2.98607,3.0269,1.97161
142,1.97161,0.0970998,1e-06,2.98607,3.0269,1.97161
143,1.97161,0.141042,1e-06,2.98607,3.0269,1.97161
144,1.97161,0.132457,1e-06,2.98607,3.0269,1.97161
145,1.97161,0.168155,1e-06,2.98607,3.0269,1.97161
146,1.97161,0.135116,1e-06,2.98607,3.0269,1.97161
147,1.97161,0.0875039,1e-06,2.98607,3.0269,1.97161
148,1.97178,0.0662589,1e-06,2.98547,3.0269,1.97178
149,1.97178,0.101603,1e-06,2.98547,3.0269,1.97178
150,1.97178,0.101478,1e-06,2.98547,3.0269,1.97178
151,1.97178,0.111609,1e-06,2.98547,3.0269,1.97178
152,1.97178,0.130787,1e-06,2.98547,3.0269,1.97178
153,1.97178,0.137161,1e-06,2.98547,3.0269,1.97178
154,1.97178,0.15024,1e-06,2.98547,3.0269,1.97178
155,1.97178,0.199936,1e-06,2.98547,3.0269,1.97178
156,1.97178,0.212265,1e-06,2.99133,3.02687,1.97178
157,1.97178,0.166108,1e-06,2.99133,3.02687,1.97178
158,1.97178,0.203402,1e-06,2.99133,3.02687,1.97178
159,1.97178,0.203085,1e-06,2.99133,3.02687,1.97178
160,1.97178,0.239963,1e-06,2.99133,3.02687,1.97178
161,1.97509,0.251917,1e-06,2.99133,3.00734,1.97509
162,1.97509,0.245057,1e-06,2.99133,3.00734,1.97509
163,1.97509,0.246806,1e-06,2.99133,3.00734,1.97509
164,1.97509,0.225369,1e-06,2.99133,3.00734,1.97509
165,1.97509,0.253984,1e-06,2.99133,3.00734,1.97509
166,1.97509,0.273073,1e-06,2.99133,3.00734,1.97509
167,1.97543,0.310133,1e-06,2.99178,3.00734,1.97543
168,1.97543,0.336965,1e-06,2.99178,3.00734,1.97543
169,1.97543,0.260278,1e-06,2.99178,3.00734,1.97543
170,1.97543,0.273692,1e-06,2.99178,3.00734,1.97543
171,1.97543,0.267787,1e-06,2.99178,3.00734,1.97543
172,1.97543,0.326313,1e-06,2.99178,3.00734,1.97543
173,1.97543,0.298788,1e-06,2.99178,3.00734,1.97543
174,1.97543,0.241148,1e-06,2.99178,3.00734,1.97543
175,1.97543,0.233436,1e-06,2.99178,3.00734,1.97543
176,1.97543,0.203231,1e-06,2.99178,3.00734,1.97543
177,1.97543,0.236403,1e-06,2.99178,3.00734,1.97543
178,1.97543,0.236159,1e-06,2.99178,3.00734,1.97543
179,1.97543,0.204993,1e-06,2.99178,3.00734,1.97543
180,1.97543,0.226946,1e-06,2.99178,3.00734,1.97543
181,1.97543,0.220085,1e-06,2.99178,3.00734,1.97543
182,1.97543,0.222871,1e-06,2.99178,3.00734,1.97543
183,1.97543,0.198702,1e-06,2.99178,3.00734,1.97543
184,1.9816,0.182062,1e-06,2.9947,3.00539,1.9816
185,1.9816,0.171402,1e-06,2.9947,3.00539,1.9816
186,1.9816,0.180854,1e-06,2.9947,3.00539,1.9816
187,1.9816,0.191818,1e-06,2.9947,3.00539,1.9816
188,1.9816,0.150242,1e-06,2.9947,3.00539,1.9816
189,1.9816,0.121092,1e-06,2.9947,3.00539,1.9816
190,1.9816,0.153116,1e-06,2.9947,3.00539,1.9816
191,1.9816,0.141352,1e-06,2.9947,3.00539,1.9816
192,1.9816,0.131575,1e-06,2.9947,3.00539,1.9816
193,1.9816,0.129876,1e-06,2.9947,3.00539,1.9816
194,1.9816,0.146278,1e-06,2.9947,3.00539,1.9816
195,1.9816,0.126057,1e-06,2.9947,3.00539,1.9816
196,1.9816,0.135371,1e-06,2.9947,3.00539,1.9816
197,1.9816,0.168789,1e-06,2.9947,3.00539,1.9816
198,1.9816,0.201324,1e-06,2.9947,3.00539,1.9816
199,1.9816,0.189042,1e-06,2.9947,3.00539,1.9816
200,1.9816,0.179562,1e-06,2.9947,3.00539,1.9816
201,1.9816,0.152316,1e-06,2.9947,3.00539,1.9816
202,1.9816,0.174958,1e-06,2.9947,3.00539,1.9816
203,1.9816,0.180452,1e-06,2.9947,3.00539,1.9816
204,1.9816,0.177287,1e-06,2.9947,3.00539,1.9816
205,1.9816,0.15897,1e-06,2.9947,3.00539,1.9816
206,1.9816,0.183817,1e-06,2.9947,3.00539,1.9816
207,1.9816,0.191318,1e-06,2.9947,3.00539,1.9816
208,1.9816,0.194701,1e-06,2.9947,3.00539,1.9816
209,1.9816,0.186098,1e-06,2.9947,3.00539,1.9816
210,1.9816,0.219333,1e-06,2.9947,3.00539,1.9816
211,1.9816,0.251843,1e-06,2.9947,3.00539,1.9816
212,1.9816,0.231235,1e-06,2.9947,3.00539,1.9816
213,1.9816,0.24427,1e-06,2.9947,3.00539,1.9816
214,1.9816,0.254107,1e-06,2.9947,3.00539,1.9816
215,1.9816,0.220789,1e-06,2.9947,3.00539,1.9816
216,1.9816,0.238431,1e-06,2.9947,3.00539,1.9816
217,1.9816,0.173259,1e-06,2.9947,3.00539,1.9816
218,1.9816,0.224619,1e-06,2.9947,3.00539,1.9816
219,1.9816,0.212545,1e-06,2.9947,3.00539,1.9816
220,1.9816,0.255404,1e-06,2.9947,3.00539,1.9816
221,1.9816,0.250591,1e-06,2.9947,3.00539,1.9816
222,1.9816,0.24891,1e-06,2.9947,3.00539,1.9816
223,1.9816,0.210494,1e-06,2.9947,3.00539,1.9816
224,1.98161,0.228376,1e-06,2.99466,3.0049,1.98161
225,1.98161,0.190644,1e-06,2.99466,3.0049,1.98161
226,1.98161,0.209243,1e-06,2.99466,3.0049,1.98161
227,1.98161,0.183901,1e-06,2.99466,3.0049,1.98161
228,1.98298,0.171474,1e-06,2.99466,3.00491,1.98298
229,1.98298,0.23731,1e-06,2.99466,3.00491,1.98298
230,1.98298,0.182194,1e-06,2.99466,3.00491,1.98298
231,1.98298,0.181942,1e-06,2.99466,3.00491,1.98298
232,1.98298,0.174619,1e-06,2.99466,3.00491,1.98298
233,1.98298,0.167912,1e-06,2.99466,3.00491,1.98298
234,1.98298,0.18133,1e-06,2.99466,3.00491,1.98298
235,1.98298,0.200323,1e-06,2.99466,3.00491,1.98298
236,1.98298,0.226756,1e-06,2.99466,3.00491,1.98298
237,1.98298,0.1978,1e-06,2.99466,3.00491,1.98298
238,1.98298,0.203722,1e-06,2.99466,3.00491,1.98298
239,1.98298,0.210892,1e-06,2.99466,3.00491,1.98298
240,1.98298,0.183106,1e-06,2.99466,3.00491,1.98298
241,1.98298,0.195125,1e-06,2.99466,3.00491,1.98298
242,1.98298,0.191793,1e-06,2.99466,3.00491,1.98298
243,1.98298,0.230527,1e-06,2.99466,3.00491,1.98298
244,1.98298,0.261759,1e-06,2.99466,3.00491,1.98298
245,1.98298,0.260368,1e-06,2.99466,3.00491,1.98298
246,1.98298,0.260907,1e-06,2.99466,3.00491,1.98298
247,1.98298,0.22099,1e-06,2.99466,3.00491,1.98298
248,1.98298,0.133169,1e-06,2.99466,3.00491,1.98298
249,1.98298,0.175774,1e-06,2.99466,3.00491,1.98298
250,1.98298,0.207129,1e-06,2.99466,3.00491,1.98298
251,1.98298,0.183953,1e-06,2.99466,3.00491,1.98298
252,1.98298,0.215807,1e-06,2.99466,3.00491,1.98298
253,1.98298,0.205656,1e-06,2.99466,3.00491,1.98298
254,1.98298,0.212,1e-06,2.99466,3.00491,1.98298
255,1.98298,0.282809,1e-06,2.99466,3.00491,1.98298
256,1.98298,0.262812,1e-06,2.99466,3.00491,1.98298
257,1.98313,0.277332,1e-06,2.99269,3.0049,1.98313
258,1.98313,0.23828,1e-06,2.99269,3.0049,1.98313
259,1.98313,0.237748,1e-06,2.99269,3.0049,1.98313
260,1.98313,0.264085,1e-06,2.99269,3.0049,1.98313
261,1.98313,0.308692,1e-06,2.99269,3.0049,1.98313
262,1.98313,0.33369,1e-06,2.99269,3.0049,1.98313
263,1.98313,0.287632,1e-06,2.99269,3.0049,1.98313
264,1.98313,0.254504,1e-06,2.99269,3.0049,1.98313
265,1.98313,0.290843,1e-06,2.99269,3.0049,1.98313
266,1.98313,0.262175,1e-06,2.99269,3.0049,1.98313
267,1.98313,0.312912,1e-06,2.99269,3.0049,1.98313
268,1.98313,0.291874,1e-06,2.99269,3.0049,1.98313
269,1.98313,0.292428,1e-06,2.99272,3.00295,1.98313
270,1.98313,0.288669,1e-06,2.99272,3.00295,1.98313
271,1.98313,0.310109,1e-06,2.99272,3.00295,1.98313
272,1.98313,0.283084,1e-06,2.99272,3.00295,1.98313
273,1.98313,0.255056,1e-06,2.99272,3.00295,1.98313
274,1.98313,0.268501,1e-06,2.99272,3.00295,1.98313
275,1.98313,0.238718,1e-06,2.99272,3.00295,1.98313
276,1.98313,0.218133,1e-06,2.99272,3.00295,1.98313
277,1.98313,0.259994,1e-06,2.99272,3.00295,1.98313
278,1.98313,0.254009,1e-06,2.99272,3.00295,1.98313
279,1.98313,0.258172,1e-06,2.99272,3.00295,1.98313
280,1.98313,0.231086,1e-06,2.99272,3.00295,1.98313
281,1.98313,0.236784,1e-06,2.99272,3.00295,1.98313
282,1.98313,0.247658,1e-06,2.99272,3.00295,1.98313
283,1.98315,0.251775,1e-06,2.99369,3.00295,1.98315
284,1.98315,0.210448,1e-06,2.99369,3.00295,1.98315
285,1.98315,0.202045,1e-06,2.99369,3.00295,1.98315
286,1.98315,0.202273,1e-06,2.99369,3.00295,1.98315
287,1.98315,0.20385,1e-06,2.99369,3.00295,1.98315
288,1.98315,0.218557,1e-06,2.99369,3.00295,1.98315
289,1.98315,0.218844,1e-06,2.99369,3.00295,1.98315
290,1.98315,0.197343,1e-06,2.99369,3.00295,1.98315
291,1.98315,0.178402,1e-06,2.99369,3.00295,1.98315
292,1.98315,0.251918,1e-06,2.99369,3.00295,1.98315
293,1.98315,0.222629,1e-06,2.99369,3.00295,1.98315
294,1.98315,0.209018,1e-06,2.99369,3.00295,1.98315
295,1.98315,0.191547,1e-06,2.99369,3.00295,1.98315
296,1.98315,0.182733,1e-06,2.99369,3.00295,1.98315
297,1.98315,0.22012,1e-06,2.99369,3.00295,1.98315
298,1.98315,0.18068,1e-06,2.99369,3.00295,1.98315
299,1.98315,0.168198,1e-06,2.99369,3.00295,1.98315
300,1.98315,0.214332,1e-06,2.99369,3.00295,1.98315
301,1.98315,0.162324,1e-06,2.99369,3.00295,1.98315
302,1.98315,0.199574,1e-06,2.99369,3.00295,1.98315
303,1.98315,0.164348,1e-06,2.99369,3.00295,1.98315
304,1.98315,0.131377,1e-06,2.99369,3.00295,1.98315
305,1.98315,0.176582,1e-06,2.99369,3.00295,1.98315
306,1.98315,0.186879,1e-06,2.99369,3.00295,1.98315
307,1.98315,0.173296,1e-06,2.99369,3.00295,1.98315
308,1.98315,0.175915,1e-06,2.99369,3.00295,1.98315
309,1.98315,0.113762,1e-06,2.99369,3.00295,1.98315
310,1.98315,0.136564,1e-06,2.99369,3.00295,1.98315
311,1.98315,0.198412,1e-06,2.99369,3.00295,1.98315
312,1.98315,0.195621,1e-06,2.99369,3.00295,1.98315
313,1.98319,0.194645,1e-06,2.98611,3.00295,1.98319
314,1.98319,0.218278,1e-06,2.98611,3.00295,1.98319
315,1.98319,0.190744,1e-06,2.98611,3.00295,1.98319
316,1.98319,0.132548,1e-06,2.98611,3.00295,1.98319
317,1.98319,0.151846,1e-06,2.98611,3.00295,1.98319
318,1.98319,0.140006,1e-06,2.98611,3.00295,1.98319
319,1.98319,0.135955,1e-06,2.98611,3.00295,1.98319
320,1.98319,0.173051,1e-06,2.98611,3.00295,1.98319
321,1.98319,0.201131,1e-06,2.98611,3.00295,1.98319
322,1.98319,0.13082,1e-06,2.98611,3.00295,1.98319
323,1.98319,0.0941312,1e-06,2.98611,3.00295,1.98319
324,1.98319,0.12395,1e-06,2.98611,3.00295,1.98319
325,1.98319,0.145354,1e-06,2.98611,3.00295,1.98319
326,1.98319,0.114738,1e-06,2.98611,3.00295,1.98319
327,1.98319,0.138197,1e-06,2.98611,3.00295,1.98319
328,1.98319,0.139692,1e-06,2.98611,3.00295,1.98319
329,1.98319,0.157294,1e-06,2.98611,3.00295,1.98319
330,1.98319,0.172237,1e-06,2.98611,3.00295,1.98319
331,1.98319,0.171481,1e-06,2.98611,3.00295,1.98319
332,1.98319,0.163442,1e-06,2.98611,3.00295,1.98319
333,1.98319,0.154759,1e-06,2.98611,3.00295,1.98319
334,1.98319,0.171901,1e-06,2.98611,3.00295,1.98319
335,1.98319,0.182005,1e-06,2.98611,3.00295,1.98319
336,1.98319,0.211652,1e-06,2.98611,3.00295,1.98319
337,1.98319,0.196901,1e-06,2.98611,3.00295,1.98319
338,1.98319,0.177288,1e-06,2.98611,3.00295,1.98319
339,1.98319,0.196578,1e-06,2.98611,3.00295,1.98319
340,1.98319,0.215738,1e-06,2.98611,3.00295,1.98319
341,1.98319,0.208797,1e-06,2.98611,3.00295,1.98319
342,1.98319,0.221102,1e-06,2.98611,3.00295,1.98319
343,1.98319,0.211118,1e-06,2.98611,3.00295,1.98319
344,1.98319,0.159028,1e-06,2.98611,3.00295,1.98319
345,1.98319,0.165898,1e-06,2.98611,3.00295,1.98319
346,1.98319,0.150087,1e-06,2.98611,3.00295,1.98319
347,1.98319,0.204142,1e-06,2.98611,3.00295,1.98319
348,1.98319,0.151957,1e-06,2.98611,3.00295,1.98319
349,1.98319,0.182158,1e-06,2.98611,3.00295,1.98319
350,1.98319,0.22172,1e-06,2.98611,3.00295,1.98319
351,1.98319,0.238229,1e-06,2.98611,3.00295,1.98319
352,1.98319,0.2046,1e-06,2.98611,3.00295,1.98319
353,1.98319,0.208195,1e-06,2.98611,3.00295,1.98319
354,1.98319,0.201824,1e-06,2.98611,3.00295,1.98319
355,1.98319,0.215075,1e-06,2.98611,3.00295,1.98319
356,1.98319,0.229685,1e-06,2.98611,3.00295,1.98319
357,1.98319,0.171616,1e-06,2.98611,3.00295,1.98319
358,1.98319,0.177815,1e-06,2.98611,3.00295,1.98319
359,1.98319,0.203234,1e-06,2.98611,3.00295,1.98319
360,1.98319,0.174588,1e-06,2.98611,3.00295,1.98319
361,1.98319,0.193229,1e-06,2.98611,3.00295,1.98319
362,1.98319,0.187052,1e-06,2.98611,3.00295,1.98319
363,1.98319,0.192423,1e-06,2.98611,3.00295,1.98319
364,1.98319,0.157861,1e-06,2.98611,3.00295,1.98319
365,1.98679,0.179048,1e-06,2.9998,3.01003,1.98679
366,1.98679,0.217519,1e-06,2.9998,3.01003,1.98679
367,1.98679,0.244965,1e-06,2.9998,3.01003,1.98679
368,1.98679,0.221836,1e-06,2.9998,3.01003,1.98679
369,1.98679,0.223088,1e-06,2.9998,3.01003,1.98679
370,1.98679,0.236573,1e-06,2.9998,3.01003,1.98679
371,1.98679,0.249983,1e-06,2.9998,3.01003,1.98679
372,1.98679,0.22124,1e-06,2.9998,3.01003,1.98679
373,1.98679,0.189215,1e-06,2.9998,3.01003,1.98679
374,1.98679,0.182638,1e-06,2.9998,3.01003,1.98679
375,1.98827,0.236261,1e-06,2.9998,3.00808,1.98827
376,1.98827,0.238645,1e-06,2.9998,3.00808,1.98827
377,1.98827,0.221369,1e-06,2.9998,3.00808,1.98827
378,1.98827,0.220797,1e-06,2.9998,3.00808,1.98827
379,1.98827,0.219952,1e-06,2.9998,3.00808,1.98827
380,1.98827,0.227692,1e-06,2.9998,3.00808,1.98827
381,1.98827,0.190546,1e-06,2.9998,3.00808,1.98827
382,1.98827,0.237386,1e-06,2.9998,3.00808,1.98827
383,1.98827,0.247071,1e-06,2.9998,3.00808,1.98827
384,1.98827,0.250883,1e-06,2.9998,3.00808,1.98827
385,1.98827,0.208953,1e-06,2.9998,3.00808,1.98827
386,1.98827,0.201092,1e-06,2.9998,3.00808,1.98827
387,1.98827,0.197473,1e-06,2.9998,3.00808,1.98827
388,1.98827,0.215118,1e-06,2.9998,3.00808,1.98827
389,1.98827,0.205272,1e-06,2.9998,3.00808,1.98827
390,1.98827,0.177068,1e-06,2.9998,3.00808,1.98827
391,1.98827,0.148947,1e-06,2.9998,3.00808,1.98827
392,1.98827,0.17937,1e-06,2.9998,3.00808,1.98827
393,1.98827,0.110446,1e-06,2.9998,3.00808,1.98827
394,1.98827,0.16057,1e-06,2.9998,3.00808,1.98827
395,1.98827,0.162375,1e-06,2.9998,3.00808,1.98827
396,1.98827,0.167481,1e-06,2.9998,3.00808,1.98827
397,1.98827,0.158634,1e-06,2.9998,3.00808,1.98827
398,1.98827,0.137859,1e-06,2.9998,3.00808,1.98827
399,1.98827,0.160666,1e-06,2.9998,3.00808,1.98827
400,1.98827,0.15999,1e-06,2.9998,3.00808,1.98827
